Timestamp(us), ax, ay, az, gx, gy, gz, mx, my, mz,period
3535117034,-11725,-46,-11977,1569,427,-651,439,391,-1903,0
3535137023,-11965,-1628,-11675,1400,296,-666,445,368,-1965,0
3535157012,-12033,-2150,-12221,1359,107,-370,445,344,-1976,0
3535177001,-11635,-1587,-14030,1408,89,-50,457,338,-2001,0
3535196990,-10884,-269,-16408,1412,304,163,445,296,-2051,0
3535216979,-10951,635,-17171,1501,155,401,439,285,-2100,0
3535236968,-10943,1690,-15023,1685,-211,649,439,285,-2100,0
3535256958,-11350,-487,-11075,1750,-387,1011,463,261,-2113,0
3535276947,-12988,-2525,-10189,913,317,1279,457,255,-2150,0
3535296936,-5497,753,-16971,-622,1365,1406,439,261,-2138,0
3535316925,1543,10650,-25980,-12,1447,1410,397,296,-2186,0
3535336914,-718,12317,-26464,1938,-764,500,386,279,-2163,0
3535356903,-7359,3493,-19562,2306,-1872,-247,415,231,-2200,0
3535376892,-12296,-2148,-15155,1172,-959,-67,433,231,-2186,0
3535396881,-12210,-1642,-13120,1,-270,512,445,213,-2161,0
3535416870,-9335,-77,-10699,-414,-264,748,451,225,-2150,0
3535436859,-8082,-467,-8360,-190,-337,522,433,243,-2161,0
3535456848,-8520,-1988,-7382,208,-166,152,445,237,-2150,0
3535476837,-9045,-3302,-7610,603,37,-151,439,231,-2150,0
3535496826,-9857,-4054,-8927,752,103,-160,451,243,-2161,0
3535516815,-9997,-5424,-10148,437,329,229,439,219,-2125,0
3535536804,-8115,-4018,-13568,-76,596,719,451,231,-2161,0
3535556793,-6632,-2493,-17633,-220,565,686,439,261,-2161,0
3535576782,-6523,-3188,-17357,89,139,555,439,249,-2125,0
3535596771,-7622,-4700,-14995,310,-253,596,409,237,-2150,0
3535616760,-7425,-5228,-13256,27,-99,784,433,237,-2173,0
3535636749,-5201,-3987,-13005,-275,134,952,427,261,-2161,0
3535656738,-3969,-3161,-13556,-191,347,934,427,290,-2125,0
3535676727,-4394,-3035,-13885,218,446,741,391,273,-2125,0
3535696716,-5357,-3669,-13579,556,402,497,385,273,-2113,0
3535716705,-5889,-3984,-13089,768,484,400,380,267,-2138,0
3535736694,-5650,-3640,-13171,836,575,323,368,273,-2150,0
3535756683,-5160,-3001,-14088,711,838,317,368,255,-2161,0
3535776672,-5891,-3680,-16153,462,788,248,356,243,-2200,0
3535796661,-6658,-4869,-18195,455,527,137,344,255,-2200,0
3535816650,-7574,-5429,-18649,589,168,149,332,243,-2150,0
3535836639,-7744,-5618,-18508,507,-35,196,344,237,-2186,0
3535856628,-7165,-5231,-17822,370,-30,231,332,231,-2175,0
3535876617,-7089,-5070,-16886,213,-35,248,332,243,-2211,0
3535896606,-6480,-4766,-15720,104,108,260,332,231,-2186,0
3535916595,-5665,-3856,-14464,134,290,306,326,249,-2223,0
3535936584,-5155,-3234,-14047,143,337,304,332,237,-2186,0
3535956573,-4971,-3001,-13704,185,244,252,296,225,-2161,0
3535976562,-5011,-2993,-13728,225,1,214,302,237,-2186,0
3535996551,-5470,-3256,-14480,357,-260,144,302,243,-2200,0
3536016540,-5925,-3307,-14838,384,-367,153,302,231,-2211,0
3536036529,-5863,-2809,-14915,226,-356,280,296,219,-2175,0
3536056518,-5266,-2190,-14699,96,-316,374,296,243,-2186,0
3536076507,-5034,-1768,-14543,17,-208,352,290,243,-2175,0
3536096496,-4998,-1937,-14425,26,-198,252,302,225,-2150,0
3536116485,-5371,-2346,-14766,208,-107,248,308,243,-2186,0
3536136474,-6248,-2717,-15393,330,-108,293,308,231,-2186,0
3536156463,-6702,-2953,-16181,235,-219,401,290,231,-2173,0
3536176452,-7168,-3206,-16288,228,-343,283,302,225,-2161,0
3536196441,-6973,-3241,-15949,387,-445,45,290,243,-2186,0
3536216430,-7008,-3198,-16032,337,-369,-56,302,219,-2150,0
3536236419,-6924,-3299,-16900,198,-153,-128,320,213,-2088,0
3536256408,-7220,-3282,-17063,299,-296,-178,279,243,-2125,0
3536276397,-8875,-1618,-14737,648,-324,119,302,225,-2150,0
3536296386,-11595,-1651,-14551,709,109,633,290,195,-2161,0
3536316375,-11445,-4002,-17594,17,328,550,290,201,-2136,0
3536336364,-6904,-3292,-19559,-559,302,850,273,219,-2138,0
3536356353,-2935,-463,-17121,-418,-22,1141,237,213,-2136,0
3536376342,-1850,265,-12912,-354,-173,863,231,219,-2150,0
3536396331,-1681,-1220,-10110,-514,54,476,231,237,-2075,0
3536416320,-3323,-1791,-10245,-620,407,565,237,249,-2088,0
3536436309,-4892,-1829,-11374,-569,382,369,207,243,-2075,0
3536456298,-4880,-2555,-11705,-239,36,117,195,267,-2063,0
3536476287,-5473,-2486,-11169,47,3,97,190,261,-2063,0
3536496276,-5714,-2578,-11311,-76,301,-99,172,255,-2075,0
3536516265,-6301,-2792,-12065,-292,638,-52,172,249,-2038,0
3536536254,-6143,-2745,-11820,-308,730,108,154,261,-2001,0
3536556243,-7049,-2474,-12826,-147,726,276,142,267,-2038,0
3536576232,-8450,-2584,-14495,68,728,97,124,261,-2026,0
3536596221,-8994,-3340,-15388,255,552,-172,112,273,-2038,0
3536616210,-9867,-3542,-15557,316,304,-87,112,261,-2013,0
3536636199,-9506,-3370,-15136,149,468,3,95,249,-2001,0
3536656188,-9129,-2977,-14232,60,774,-28,89,261,-2026,0
3536676177,-8566,-2880,-13432,-132,849,-310,59,255,-1990,0
3536696166,-6754,-2394,-13207,-308,536,-440,53,255,-1976,0
3536716156,-6061,-1694,-14017,-308,412,-365,41,267,-1965,0
3536736145,-6655,-1719,-14941,-203,55,-396,41,273,-1976,0
3536756134,-7526,-1893,-14994,-30,-336,-537,35,279,-1951,0
3536776123,-8092,-2475,-15275,-209,-453,-594,59,273,-1940,0
3536796112,-8744,-2688,-16160,-163,-30,-629,41,261,-1953,0
3536816101,-8587,-3334,-16633,-266,26,-652,53,267,-1915,0
3536836090,-7578,-3165,-18074,-373,3,-569,59,285,-1940,0
3536856079,-7229,-2363,-17508,-40,-393,-402,47,273,-1915,0
3536876068,-6850,-2486,-14599,142,-775,-306,77,285,-1903,0
3536896057,-6769,-2390,-14180,-107,-524,-291,71,261,-1903,0
3536916046,-7100,-2592,-16009,-435,-211,-365,77,273,-1892,0
3536936035,-8134,-3802,-16425,-575,-185,-332,65,290,-1915,0
3536956024,-8741,-4797,-15839,-697,-141,-142,71,285,-1892,0
3536976013,-8773,-4713,-15469,-841,229,208,65,285,-1853,0
3536996002,-7148,-2520,-17220,-1311,612,558,71,308,-1878,0
3537015991,-4255,305,-20196,-1533,505,625,47,314,-1817,0
3537035980,-2981,1086,-19902,-1021,-13,528,23,308,-1792,0
3537055969,-2698,844,-16805,-926,-61,337,23,296,-1780,0
3537075958,-2957,-237,-16364,-1346,693,17,5,326,-1805,0
3537095947,-2421,-199,-15803,-1157,1338,-120,11,326,-1769,0
3537115936,-1821,425,-15361,-1012,1441,14,-6,314,-1732,0
3537135925,-990,1714,-16725,-1041,1177,3,-36,338,-1682,0
3537155914,767,2739,-17128,-738,513,-252,-36,326,-1657,0
3537175903,1403,3502,-15884,-95,-105,-541,-30,356,-1646,0
3537195892,-3188,2528,-14908,94,-485,-1355,-36,326,-1671,0
3537215881,-2244,99,-14209,-314,-787,-2851,0,344,-1646,0
3537235870,-2986,-1584,-14961,-608,-495,-2484,-6,338,-1657,0
3537255859,-3540,-2613,-14949,-665,-172,-994,23,356,-1632,0
3537275848,-5182,-1073,-15143,-314,351,-81,23,385,-1632,0
3537295837,-5184,-1229,-15570,64,394,-286,23,385,-1621,0
3537315826,-5888,-1607,-14174,207,121,-441,5,356,-1634,0
3537335815,-5946,-2166,-14000,-316,117,-602,11,362,-1607,0
3537355804,-6213,-2123,-13883,-546,293,-501,11,362,-1596,0
3537375793,-5815,-1639,-13152,-480,339,-448,23,385,-1621,0
3537395782,-4496,915,-12446,-401,703,-345,5,385,-1596,0
3537415771,-4050,2203,-13902,-662,885,-473,0,403,-1559,0
3537435760,-3762,1520,-14798,-320,456,-772,5,391,-1571,0
3537455749,-4032,34,-13669,537,113,-874,-6,403,-1534,0
3537475738,-5163,-576,-14004,685,215,-759,5,374,-1596,0
3537495727,-5661,349,-18405,87,307,-701,-6,362,-1596,0
3537515716,-4587,574,-18188,-107,-66,-666,17,391,-1509,0
3537535705,-4233,69,-14254,93,-328,-502,11,391,-1559,0
3537555694,-3923,161,-11653,42,154,-382,17,391,-1559,0
3537575683,-2874,1708,-12866,-458,1005,-255,17,409,-1548,0
3537595672,-1396,2405,-17166,-359,1394,-140,5,391,-1534,0
3537615661,-2156,3033,-15392,526,312,-298,-12,409,-1546,0
3537635650,-2372,2634,-15944,90,-405,-951,0,385,-1523,0
3537655639,-2992,454,-13359,-213,-425,-1346,29,391,-1511,0
3537675628,-4124,202,-12949,-723,342,-1173,23,397,-1534,0
3537695617,-3630,473,-13589,-965,1178,-913,17,391,-1523,0
3537715606,-2763,1169,-15008,-882,1269,-426,17,409,-1436,0
3537735595,-2890,930,-16260,119,608,235,17,427,-1473,0
3537755584,-4040,1036,-14976,1199,233,757,23,421,-1461,0
3537775573,-4153,1568,-14259,1353,567,621,5,397,-1486,0
3537795562,-3935,2952,-16566,514,769,477,-12,397,-1473,0
3537815551,-3923,3239,-19673,-489,1196,155,0,374,-1486,0
3537835540,-3101,1184,-15261,-588,3280,-466,-42,391,-1436,0
3537855529,-627,2287,-12539,676,2209,-741,-42,385,-1411,0
3537875518,-258,1286,-15457,1273,329,-214,-42,374,-1473,0
3537895507,374,-971,-15088,748,622,-233,-48,385,-1425,0
3537915496,803,-1537,-15850,524,378,-466,-60,362,-1425,0
3537935485,31,-283,-16550,507,175,-571,-48,374,-1411,0
3537955474,26,66,-17146,350,143,-483,-30,368,-1436,0
3537975463,200,272,-17004,236,125,-405,-30,374,-1425,0
3537995452,823,-266,-16017,257,191,-303,-48,380,-1411,0
3538015441,1791,-1124,-14947,254,150,-252,-42,362,-1411,0
3538035430,1915,-835,-14823,112,-11,-321,-48,368,-1400,0
3538055419,1742,-61,-14790,110,-66,-423,-30,362,-1363,0
3538075408,1781,509,-14840,271,-80,-421,-36,362,-1400,0
3538095397,2267,168,-15207,321,-100,-322,-48,344,-1411,0
3538115386,2779,-457,-15843,297,-221,-249,-36,362,-1425,0
3538135375,3196,-1203,-16791,220,-271,-247,-24,374,-1436,0
3538155364,3316,-2173,-16928,178,-201,-330,-18,368,-1388,0
3538175354,3340,-2181,-17393,184,-171,-449,-24,350,-1436,0
3538195343,3110,-2108,-17232,158,-111,-546,-18,356,-1425,0
3538215332,2776,-1690,-16537,86,-153,-628,0,344,-1436,0
3538235321,2279,-1094,-16053,-28,-219,-660,0,350,-1411,0
3538255310,2211,-1398,-15782,-152,-249,-645,5,356,-1400,0
3538275299,1927,-1320,-15721,-164,-273,-635,11,368,-1411,0
3538295288,1263,-753,-15110,50,-180,-607,17,362,-1425,0
3538315277,1124,-267,-15453,102,-132,-547,5,380,-1400,0
3538335266,1284,-255,-15960,-6,-162,-458,35,356,-1411,0
3538355255,1940,-1022,-15628,-80,-266,-414,35,350,-1425,0
3538375244,2766,-1962,-15788,-77,-315,-335,47,356,-1388,0
3538395233,2799,-2847,-15703,99,-226,-303,29,350,-1375,0
3538415222,2513,-2649,-15287,271,-182,-396,41,326,-1411,0
3538435211,2258,-2631,-15791,185,-149,-453,53,332,-1400,0
3538455200,2135,-2839,-16948,16,-81,-516,53,350,-1400,0
