Timestamp(us), mx, my, mz
3015882415,659,-446,-1723
3015902404,653,-452,-1723
3015922393,671,-446,-1709
3015942382,653,-458,-1686
3015962371,665,-470,-1684
3015982360,659,-446,-1698
3016002349,659,-452,-1661
3016022338,653,-440,-1673
3016042327,683,-464,-1673
3016062316,653,-452,-1709
3016082305,659,-452,-1709
3016102294,647,-452,-1686
3016122283,653,-470,-1648
3016142272,659,-446,-1698
3016162261,659,-458,-1673
3016182250,665,-476,-1636
3016202239,665,-458,-1661
3016222229,665,-470,-1611
3016242218,671,-488,-1648
3016262207,671,-470,-1636
3016282196,677,-499,-1600
3016302185,683,-517,-1611
3016322174,671,-511,-1588
3016342163,683,-505,-1575
3016362152,665,-511,-1550
3016382141,677,-523,-1550
3016402130,677,-499,-1561
3016422119,677,-505,-1538
3016442108,700,-493,-1538
3016462097,683,-511,-1513
3016482086,683,-493,-1525
3016502075,689,-511,-1513
3016522064,683,-511,-1500
3016542053,689,-523,-1525
3016562042,689,-505,-1500
3016582031,677,-523,-1513
3016602020,689,-523,-1476
3016622009,700,-517,-1488
3016641998,706,-517,-1500
3016661987,677,-523,-1500
3016681976,706,-511,-1525
3016701965,683,-517,-1476
3016721954,694,-517,-1463
3016741943,700,-494,-1476
3016761932,700,-535,-1525
3016781921,700,-511,-1550
3016801910,689,-529,-1488
3016821899,683,-511,-1463
3016841888,700,-535,-1465
3016861877,694,-541,-1476
3016881866,683,-547,-1463
3016901855,718,-559,-1426
3016921844,683,-541,-1415
3016941833,700,-559,-1353
3016961822,706,-583,-1365
3016981811,694,-565,-1376
3017001800,677,-594,-1315
3017021789,677,-589,-1340
3017041778,683,-612,-1278
3017061767,689,-618,-1242
3017081756,671,-624,-1205
3017101745,677,-618,-1255
3017121734,665,-636,-1205
3017141723,665,-624,-1144
3017161712,665,-666,-1144
3017181701,653,-684,-1071
3017201690,635,-678,-1069
3017221679,653,-678,-1057
3017241668,665,-684,-1094
3017261657,647,-690,-1082
3017281646,647,-684,-1071
3017301635,623,-695,-1057
3017321624,629,-690,-1082
3017341613,635,-707,-1057
3017361602,623,-713,-1032
3017381591,629,-707,-1032
3017401580,617,-707,-1082
3017421569,629,-719,-1046
3017441558,617,-695,-1021
3017461547,611,-719,-996
3017481536,623,-707,-996
3017501525,599,-719,-984
3017521514,605,-731,-1009
3017541503,611,-731,-971
3017561492,617,-731,-934
3017581481,605,-719,-984
3017601470,611,-719,-923
3017621459,617,-725,-884
3017641448,629,-725,-909
3017661437,605,-737,-873
3017681427,605,-731,-884
3017701416,593,-755,-811
3017721405,570,-731,-786
3017741394,582,-755,-738
3017761383,576,-749,-676
3017781372,546,-761,-626
3017801361,516,-773,-565
3017821350,510,-785,-503
3017841339,487,-796,-453
3017861328,451,-790,-392
3017881317,403,-802,-307
3017901306,392,-814,-246
3017921295,356,-826,-207
3017941284,296,-814,-221
3017961273,243,-832,-159
3017981262,225,-838,-146
3018001251,190,-820,-134
3018021240,154,-838,-73
3018041229,118,-844,-84
3018061218,89,-850,-84
3018081207,65,-856,-98
3018101196,35,-862,-61
3018121185,23,-868,-36
3018141174,17,-862,-98
3018161163,11,-886,-36
3018181152,0,-880,-48
3018201141,-18,-897,-61
3018221130,-24,-903,-73
3018241119,-24,-909,-109
3018261108,-30,-921,-109
3018281097,-36,-957,-98
3018301086,-60,-969,-134
3018321075,-48,-981,-134
