Timestamp(us), ax, ay, az, gx, gy, gz
3008466491,-15133,-1625,-2681,293,431,-70
3008486480,-15225,-1748,-2742,270,323,-119
3008506469,-15571,-1889,-3004,252,216,-169
3008526458,-15835,-1984,-3362,234,176,-222
3008546447,-15865,-1995,-3533,218,183,-266
3008566436,-15775,-1896,-3290,203,188,-284
3008586425,-15726,-1836,-3138,204,163,-281
3008606414,-15534,-1903,-3185,222,125,-270
3008626403,-15664,-2192,-3295,241,83,-262
3008646392,-15827,-2317,-3699,253,95,-268
3008666381,-15835,-1852,-4638,239,217,-287
3008686370,-15890,-1570,-5345,191,313,-321
3008706359,-16030,-1556,-5764,137,160,-356
3008726348,-16817,-1346,-6449,64,-97,-354
3008746337,-17617,-1124,-7048,-91,-168,-316
3008766326,-17854,-1110,-7268,-302,-132,-275
3008786315,-17453,-933,-7000,-520,-194,-237
3008806304,-17581,-468,-6971,-735,-353,-191
3008826293,-18203,10,-7175,-927,-533,-148
3008846282,-18286,-229,-6015,-1070,-801,-99
3008866271,-18555,-952,-4485,-1214,-1096,-5
3008886260,-18525,-1319,-3659,-1336,-1308,106
3008906250,-18364,-1374,-3686,-1395,-1331,193
3008926239,-17934,-1506,-4156,-1408,-1257,235
3008946228,-17386,-1911,-3838,-1380,-1390,261
3008966217,-17118,-3006,-2626,-1317,-1891,319
3008986206,-17156,-3465,-1180,-1263,-2602,473
3009006195,-17918,-3248,-475,-1298,-3014,702
3009026184,-17373,-2685,-514,-1362,-3135,855
3009046173,-16223,-2605,656,-1376,-3314,951
3009066162,-15043,-2749,2958,-1328,-3536,992
3009086151,-13647,-3134,5543,-1240,-3714,992
3009106140,-13921,-3810,6764,-1122,-3698,961
3009126129,-14904,-4182,6273,-1019,-3330,879
3009146118,-13254,-3944,7565,-934,-2872,749
3009166107,-11561,-4231,9382,-827,-2558,616
3009186096,-11249,-4549,9249,-705,-2328,542
3009206085,-11649,-4756,8697,-575,-2069,452
3009226074,-11360,-5143,9214,-462,-1811,319
3009246063,-11444,-5622,9888,-414,-1360,256
3009266052,-11696,-5368,9785,-401,-652,253
3009286041,-11400,-5081,9943,-410,-138,198
3009306030,-9856,-4885,11241,-415,-110,128
3009326019,-9894,-4287,10943,-392,-230,147
3009346008,-11039,-3673,10259,-378,-333,149
3009365997,-10782,-3630,10763,-378,-489,95
3009385986,-10080,-3748,11101,-368,-543,87
3009405975,-10425,-3404,11418,-321,-491,115
3009425964,-11132,-3070,12120,-250,-412,109
3009445953,-11252,-2944,13055,-213,-326,81
3009465942,-11023,-2607,12823,-183,-357,26
3009485931,-10392,-2111,12237,-140,-392,-15
3009505920,-10559,-1878,12927,-78,-277,29
3009525909,-11568,-1785,13710,-52,-189,66
3009545898,-11408,-1775,13842,-73,-165,70
3009565887,-11348,-1915,13380,-102,-174,77
3009585876,-10786,-1792,12694,-110,-237,97
3009605865,-10951,-1692,12522,-110,-269,130
3009625854,-11387,-1752,13081,-104,-230,155
3009645843,-11432,-1803,13448,-93,-192,137
3009665832,-11010,-1795,13551,-105,-124,116
3009685821,-10826,-1869,13613,-119,-42,121
3009705810,-10824,-1875,13431,-115,24,108
3009725799,-10437,-1752,13339,-88,-24,52
3009745788,-10157,-1771,13361,-57,-133,-5
3009765777,-10160,-1946,13571,-46,-173,-28
3009785766,-10298,-2100,13570,-73,-171,-23
3009805755,-10463,-2195,12756,-118,-197,-22
3009825744,-10135,-2466,11933,-153,-244,-22
3009845733,-10917,-2855,12936,-108,-170,74
3009865722,-11145,-3093,13739,-33,-58,177
3009885711,-11621,-3170,13633,0,56,270
3009905700,-11484,-3032,13655,-23,293,365
3009925689,-10702,-2498,13008,-98,684,470
3009945678,-10236,-1266,11008,-152,999,464
3009965667,-9179,-244,11832,-47,772,304
3009985656,-9550,-353,14473,151,249,124
3010005645,-10668,-770,14613,250,101,-18
3010025634,-11197,-749,13388,235,239,-95
3010045623,-11049,-752,12929,147,371,-110
3010065612,-10584,-878,12968,54,290,-133
3010085601,-10598,-983,12903,-7,27,-156
3010105590,-11175,-1258,12698,-53,-205,-146
3010125579,-11273,-1544,12406,-92,-318,-117
3010145568,-11694,-1861,12395,-133,-347,-64
3010165557,-11911,-2051,12571,-172,-335,-25
3010185546,-11536,-2034,12461,-169,-354,-12
3010205535,-11091,-2049,12113,-133,-362,10
3010225524,-10905,-2168,12486,-73,-307,42
3010245513,-11184,-2138,12703,-14,-259,55
3010265502,-11120,-2031,12478,16,-206,32
3010285491,-10597,-2172,12752,16,-130,16
3010305480,-10380,-2320,12854,-6,-68,16
3010325469,-10171,-2036,12514,-24,-64,21
3010345458,-10172,-1822,12574,-32,-57,33
3010365447,-10303,-1749,12729,-47,-35,51
3010385437,-10485,-1857,12895,-60,-66,39
3010405426,-10555,-1806,12974,-78,-67,9
3010425415,-10473,-1771,13079,-105,18,-2
3010445404,-10270,-1747,12748,-130,87,2
3010465393,-10201,-1609,12458,-132,68,10
3010485382,-10695,-1802,12778,-111,34,-3
3010505371,-10871,-2057,13058,-90,-16,-32
3010525360,-10547,-1995,12908,-69,-43,-62
3010545349,-10466,-1865,12857,-55,-11,-76
3010565338,-10333,-2043,12934,-59,35,-65
3010585327,-10582,-2325,12784,-74,15,-54
3010605316,-10590,-2442,12690,-83,-50,-66
3010625305,-10656,-2658,12681,-100,-110,-78
3010645294,-10654,-3104,12302,-130,-116,-54
3010665283,-10670,-3590,11812,-155,-60,24
3010685272,-11616,-3532,12094,-134,50,155
3010705261,-11592,-3489,13211,-85,155,255
3010725250,-10732,-3071,14493,-62,217,343
3010745239,-10432,-2390,13971,-69,306,439
3010765228,-10194,-1582,11696,-63,484,449
3010785217,-11034,-1097,12001,16,577,354
3010805206,-10645,-975,14805,155,507,194
3010825195,-10454,-1145,15088,275,329,20
3010845184,-11339,-1202,13606,305,327,-83
3010865173,-10803,-1310,12851,271,397,-147
3010885162,-10149,-1534,12784,218,330,-167
3010905151,-10523,-1772,12579,155,170,-147
3010925140,-11247,-1856,12083,95,28,-139
3010945129,-11330,-1817,11669,41,-42,-135
3010965118,-11380,-1743,11405,-8,-70,-109
3010985107,-11617,-1877,11547,-43,-83,-80
3011005096,-11683,-1935,11832,-48,-110,-59
3011025085,-11830,-1909,11884,-46,-114,-34
3011045074,-11891,-1738,11686,-37,-104,-30
3011065063,-11680,-1710,11721,-18,-88,-41
3011085052,-11524,-1735,11872,-4,-80,-46
3011105041,-11387,-1696,11793,-9,-112,-58
3011125030,-11433,-1440,12092,-32,-223,-90
3011145019,-12012,-1175,13044,-57,-339,-118
3011165008,-12767,-1177,14762,-73,-357,-84
3011184997,-13724,-1409,16662,-17,-354,18
3011204986,-13921,-715,16558,160,-460,164
3011224975,-14425,99,15208,417,-597,320
3011244964,-14204,126,15214,704,-552,416
3011264953,-12290,-17,15871,941,-415,438
3011284942,-10547,245,14456,1102,-325,449
3011304931,-7430,1299,11274,1189,-315,399
3011324920,-2985,3370,5278,1146,-598,173
3011344909,-2469,2506,1545,772,-1020,-89
3011364898,-1424,-4687,9296,-57,-1357,-161
3011384887,-975,-6828,14923,-1177,-2071,-75
