Timestamp(us), yaw, pitch, roll
3290971221,-16.463169634839861,25.915513961197369,-135.09293391780199
3290991210,-15.841021631298828,28.327816704283663,-134.65660327074031
3291011199,-15.187375640168003,30.716996705916863,-134.32391078456996
3291031188,-14.513196209664306,33.032498373868769,-133.93703180864443
3291051177,-13.781783846061266,35.267913128750791,-133.50360330411758
3291071166,-12.987140688418831,37.419500553349778,-133.12317381265933
3291091156,-12.154256880448626,39.493096460743416,-132.78440750483207
3291111145,-11.306823983859509,41.496121749877936,-132.36296402714461
3291131134,-10.430753238217676,43.422612305570375,-131.8196912299498
3291151123,-9.4798082184399686,45.238340957355391,-131.16922280456609
3291171112,-8.5050702418358171,46.944587161862131,-130.47448473702903
3291191101,-7.5084283791388406,48.572008114771066,-129.74182096621666
3291211090,-6.5153713083176639,50.090732409069723,-128.87635083049855
3291231079,-5.5003945668752507,51.499654138464251,-127.83409293415924
3291251068,-4.5154119128559005,52.745477195369475,-126.79820255592611
3291271057,-3.446009586523378,54.023290386206284,-125.68385431033661
3291291046,-2.3993915149954397,55.212674540533889,-124.52238601691258
3291311035,-1.450591476758587,56.255048090547227,-123.37733431974075
3291331024,-0.53235957661584021,57.236862420850919,-122.2242910538229
3291351013,0.47465613783479554,58.286961895249355,-120.91517766230041
3291371002,1.4078402679230455,59.23006369489611,-119.67247115755116
3291390991,2.3642072178478695,60.149934974192455,-118.50024057636243
3291410980,3.4886599996513281,61.06437098596416,-117.08471988844047
3291430969,4.4111598034530122,61.891408752270685,-115.79756657090925
3291450958,5.3986299127651023,62.793439840846318,-114.46896379319936
3291470947,6.4354100983288758,63.650793012680126,-113.18686132001608
3291490936,7.5551683478962133,64.445556488038193,-111.8955744683401
3291510925,8.6953288701625855,65.191441642877962,-110.53110340455176
3291530914,9.7805143842401367,65.948626798900179,-109.21494665588413
3291550903,10.95139773718944,66.744610265865674,-107.9251816382242
3291570892,12.201802647430826,67.53923228040712,-106.6996311486396
3291590881,13.060337544622593,68.270698422024068,-105.90409309550125
3291610870,14.189039576858526,68.956263445427339,-104.7549429015796
3291630859,15.365071731108275,69.64281157976562,-103.54127704945309
3291650848,16.568270371346141,70.322641415408469,-102.44672179217126
3291670837,17.840188546301182,70.970223725974307,-101.45819374984048
3291690826,18.791874085477936,71.56631590340082,-100.82476168561681
3291710815,19.501851813191877,72.102575835367418,-100.40563944550756
3291730804,20.448312130900639,72.674398980249435,-99.722551343835931
3291750793,21.405849306468181,73.239809452164579,-99.099729843073533
3291770782,22.11857565134553,73.724723991260845,-98.861549782607142
3291790771,22.605193783549893,74.137360671663075,-98.87629300598438
3291810760,23.197294627535403,74.436477008323507,-98.722635806581209
3291830749,23.979442455736169,74.775055385845064,-98.302624235464009
3291850738,24.619940137898222,75.063076026628991,-98.028150323145525
3291870727,24.935036493698021,75.230860784397123,-98.058132409814064
3291890716,25.115305811352336,75.307149770920731,-98.246813782791449
3291910705,25.300221396743773,75.335378920206054,-98.399521758186552
3291930694,25.532307350429249,75.337527007858725,-98.449057759027838
3291950683,25.551216637687329,75.304851491360807,-98.713836690792419
3291970672,25.425202609350581,75.241112875792851,-99.307711741688578
3291990661,25.422064149751829,75.140564930668205,-99.824629614859617
3292010650,25.61697744510294,74.923512324240079,-100.08183488144991
3292030639,25.447992781928498,74.790049675994069,-100.73010802683294
3292050628,24.947949681349336,74.683084203855898,-101.49833154038876
3292070617,24.016993516701721,74.502855795256878,-102.57900287553178
3292090606,23.552604613607848,74.374866911827795,-103.33406498299105
3292110595,23.096844668263934,74.209477617154647,-104.18795028721259
3292130584,22.601010837508539,74.064954050345776,-105.05187126810867
3292150573,21.913091606081348,73.89529316073741,-105.93351988219045
3292170562,21.228690274531868,73.664744494615263,-106.88793511203534
3292190551,20.296516844326561,73.383070893058047,-108.01759462035953
3292210540,19.072881460691203,73.060860823613879,-109.35828948578488
